,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
140,Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555
141,Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55
142,Sesamum,1998,Kharif     ,Puducherry,147.0,120,1434.5875,14523.6,42.63,0.806666667
143,Small millets,1998,Kharif     ,Puducherry,4.0,3,1434.5875,395.2,1.16,0.75
144,Sugarcane,1998,Kharif     ,Puducherry,2710.0,50000,1434.5875,267748.0,785.9,82.595
145,Tapioca,1998,Kharif     ,Puducherry,649.0,19110,1434.5875,64121.2,188.21,20.0
146,Arecanut,1998,Whole Year ,Assam,74457.0,50000,2354.4,7356351.6,21592.53,0.784347826
147,Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.709130435
149,Castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.411428571
151,Cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399130435
152,Dry chillies,1998,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4269.96,0.636956522
153,Gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.460454545
155,Linseed,1998,Rabi       ,Assam,10222.0,5212,2354.4,1009933.6,2964.38,0.480909091
156,Maize,1998,Kharif     ,Assam,19810.0,13965,2354.4,1957228.0,5744.9,0.608695652
157,Mesta,1998,Kharif     ,Assam,5260.0,25623,2354.4,519688.0,1525.4,4.9105
158,Niger seed,1998,Kharif     ,Assam,8753.0,4478,2354.4,864796.4,2538.37,0.520555556
159,Onion,1998,Whole Year ,Assam,8083.0,18341,2354.4,798600.4,2344.07,2.340434783
160,Other  Rabi pulses,1998,Rabi       ,Assam,116141.0,50000,2354.4,11474730.8,33680.89,0.50826087
162,Rapeseed &Mustard,1998,Rabi       ,Assam,288829.0,50000,2354.4,28536305.2,83760.41,0.473478261
166,Sesamum,1998,Kharif     ,Assam,15940.0,8210,2354.4,1574872.0,4622.6,0.485217391
167,Small millets,1998,Kharif     ,Assam,10547.0,5450,2354.4,1042043.6,3058.63,0.521363636
169,Sweet potato,1998,Whole Year ,Assam,9433.0,32437,2354.4,931980.4,2735.57,3.435652174
170,Tapioca,1998,Whole Year ,Assam,2798.0,13261,2354.4,276442.4,811.42,4.445217391
171,Tobacco,1998,Whole Year ,Assam,1465.0,732,2354.4,144742.0,424.85,0.569545455
172,Turmeric,1998,Whole Year ,Assam,10729.0,7416,2354.4,1060025.2,3111.41,0.666956522
173,Wheat,1998,Rabi       ,Assam,89591.0,50000,2354.4,8851590.8,25981.39,0.999545455
